user_id,created_at,birthyear,gender,is_active,maildomain,region,orig_1,orig_2,utm_src,utm_med,utm_cpg,channel,dx_0,dx_1,dx_2,dx_3,gx,im,purchase_90_n,purchase_90_bin,age
140191,2017-05-16 15:52:38,1983,1.0,1,5326,308.0,15.0,,67.0,5.0,0.0,4.0,73.95901954984325,3.132140073839696,38.45370006926044,60.172578913847076,82.57475788552928,0.12882203211420884,5.0,1,36
278411,2018-01-15 10:48:19,1988,,0,5326,308.0,64.0,14272.0,74.0,14.0,0.0,7.0,63.106006710605364,-0.07576606865215929,47.994950555919026,34.26916229053741,-4.338047170192343,0.09395694291207203,2.0,1,31
50107,2016-11-12 19:26:37,1979,,0,5910,308.0,22.0,,74.0,14.0,0.0,7.0,56.90478552363113,8.023746826221664,51.69312457146518,36.263090693074496,-22.26549280942254,0.2711320772476742,9.0,1,40
254255,2017-12-06 18:33:56,1978,,0,5326,214.0,16.0,8281.0,74.0,14.0,0.0,7.0,48.01433827893561,0.3833583365402751,27.087860637930866,80.4071032439131,4.470440604226977,0.3654236933909323,2.0,1,41
206050,2017-09-18 14:18:50,1969,,0,8155,308.0,15.0,,74.0,14.0,0.0,10.0,49.53414086991263,8.693209371550031,54.25979752047174,36.60342658753926,5.837166038527845,0.3759584053606692,3.0,1,50
31208,2016-10-09 18:29:31,1983,,0,5326,598.0,15.0,,55.0,13.0,0.0,2.0,58.08386802460784,8.496416932871993,52.92714169820096,60.27076033514904,32.85845202486185,0.907759149553858,3.0,1,36
215284,2017-10-04 15:46:11,1980,,1,5910,234.0,15.0,,74.0,14.0,0.0,7.0,59.783630378183936,4.585250938664974,63.63202021946199,75.7152286051252,27.803568199786593,0.05024824228880975,3.0,1,39
175250,2017-07-19 10:44:59,1965,,0,5910,674.0,15.0,,67.0,5.0,0.0,4.0,48.59980169909397,7.589304112258753,53.74933252800023,66.15458147992474,-65.37652938632317,0.5979996640303612,2.0,1,54
146869,2017-05-29 21:37:55,1981,,0,5326,598.0,22.0,,184.0,26.0,0.0,7.0,55.04527651251131,1.3977324188764682,41.820422564288286,44.919308586273395,-3.0085921123949086,0.3145388733005685,2.0,1,38
79760,2017-01-12 13:24:57,1986,,1,3429,234.0,15.0,,40.0,4.0,0.0,10.0,56.512976744448956,3.5131420837059126,54.085295961442434,68.16731413900314,-47.70716685248375,0.023809208621463074,3.0,1,33
